Current WB Status & Gavi Eligibility,Country (group),ISO,Vaccine,Vaccine Sub-type,Routine / Campaign,Year,# Doses,Total Required Supply
Gavi Eligible,Benin,BEN,HPV,HPV2,Routine,2030,1,150478.715780562
Gavi Eligible,Benin,BEN,HPV,HPV2,Routine,2029,1,148374.627859172
Gavi Eligible,Benin,BEN,HPV,HPV2,Routine,2028,1,148159.872744482
Gavi Eligible,Benin,BEN,HPV,HPV2,Routine,2027,1,135272.062458083
Gavi Eligible,Benin,BEN,HPV,HPV2,Routine,2026,1,134434.530552318
Gavi Eligible,Benin,BEN,HPV,HPV2,Routine,2025,1,126465.2512922
Gavi Eligible,Benin,BEN,HPV,HPV2,Routine,2024,1,93380.892287827
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2032,2,1015668.38833333
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2031,2,990567.755
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2030,2,966732.872777778
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2029,2,942802.273333333
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2028,2,918338.777777778
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2027,2,895037.463888889
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2026,2,872833.565
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2025,2,850362.016111111
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2024,2,828123.043888889
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2023,2,825601.903
Gavi Eligible,Benin,BEN,IPV,IPV,Routine,2022,2,707678.745
Gavi Eligible,Benin,BEN,MenA,MenA,Campaign,2022,1,1600433.77777778
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2032,1,708002.9775
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2031,1,689933.9575
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2030,1,672704.495833333
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2029,1,655418.1
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2028,1,637847.203333333
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2027,1,621089.339166667
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2026,1,605058.0975
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2025,1,588890.040833333
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2024,1,572964.569166667
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2023,1,574682.524
Gavi Eligible,Benin,BEN,MenA,MenA,Routine,2022,1,433590.373333333
Gavi Eligible,Benin,BEN,MR,MR,Campaign,2030,1,2271105.27777778
Gavi Eligible,Benin,BEN,MR,MR,Campaign,2027,1,2178441.66666667
Gavi Eligible,Benin,BEN,MR,MR,Campaign,2024,1,2093631.38888889
Gavi Eligible,Benin,BEN,MR,MR,Campaign,2022,1,2032876.11111111
Gavi Eligible,Benin,BEN,MR,MR,Routine,2032,2,1396844.5025
Gavi Eligible,Benin,BEN,MR,MR,Routine,2031,2,1361479.16666667
Gavi Eligible,Benin,BEN,MR,MR,Routine,2030,2,1326894.485
Gavi Eligible,Benin,BEN,MR,MR,Routine,2029,2,1291968.2125
Gavi Eligible,Benin,BEN,MR,MR,Routine,2028,2,1257568.99583333
Gavi Eligible,Benin,BEN,MR,MR,Routine,2027,2,1224709.66916667
Gavi Eligible,Benin,BEN,MR,MR,Routine,2026,2,1192448.2325
Gavi Eligible,Benin,BEN,MR,MR,Routine,2025,2,1176936.59183333
Gavi Eligible,Benin,BEN,MR,MR,Routine,2024,2,1034580.73116667
Gavi Eligible,Benin,BEN,MR,MR,Routine,2023,2,882702.965
Gavi Eligible,Benin,BEN,MR,MR,Routine,2022,1,546484.241666667
Gavi Eligible,Benin,BEN,OCV,OCV,Campaign,2031,,66545
Gavi Eligible,Benin,BEN,OCV,OCV,Campaign,2028,,86962
Gavi Eligible,Benin,BEN,OCV,OCV,Campaign,2025,,107379
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2032,3,1406112.15688744
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2031,3,1370034.67151352
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2030,3,1331646.34802591
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2029,3,1315555.33952825
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2028,3,1301638.85072495
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2027,3,1270639.71419044
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2026,3,1243378.18345297
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2025,3,1213164.36478985
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2024,3,1184985.28049088
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2023,3,1164604.69549595
Gavi Eligible,Benin,BEN,PCV,PCV13,Routine,2022,3,1113942.25454795
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2032,3,1602438.08305556
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2031,3,1577760.7525
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2030,3,1540849.62472222
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2029,3,1503758.35222222
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2028,3,1465787.35777778
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2027,3,1429641.74694444
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2026,3,1395221.28527778
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2025,3,1360344.65527778
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2024,3,1325810.41027778
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2023,3,1294585.96833333
Gavi Eligible,Benin,BEN,Rota,Rota,Routine,2022,3,1264247.71055556
Gavi Eligible,Benin,BEN,RSV,RSV,Routine,2032,1,326615.165474097
Gavi Eligible,Benin,BEN,Td,Td,Routine,2032,2,1178637.75
Gavi Eligible,Benin,BEN,Td,Td,Routine,2031,2,1162855.35
Gavi Eligible,Benin,BEN,Td,Td,Routine,2030,2,1148176.8
Gavi Eligible,Benin,BEN,Td,Td,Routine,2029,2,1133031.6
Gavi Eligible,Benin,BEN,Td,Td,Routine,2028,2,1116909.9
Gavi Eligible,Benin,BEN,Td,Td,Routine,2027,2,1104231.515
Gavi Eligible,Benin,BEN,Td,Td,Routine,2026,2,1077993.55
Gavi Eligible,Benin,BEN,Td,Td,Routine,2025,2,1051412.625
Gavi Eligible,Benin,BEN,Td,Td,Routine,2024,2,1025124.63
Gavi Eligible,Benin,BEN,Td,Td,Routine,2023,2,1001342.63
Gavi Eligible,Benin,BEN,Td,Td,Routine,2022,2,978199.98
Gavi Eligible,Benin,BEN,YF,YF,Routine,2032,1,708002.9775
Gavi Eligible,Benin,BEN,YF,YF,Routine,2031,1,689933.9575
Gavi Eligible,Benin,BEN,YF,YF,Routine,2030,1,672704.495833333
Gavi Eligible,Benin,BEN,YF,YF,Routine,2029,1,655418.1
Gavi Eligible,Benin,BEN,YF,YF,Routine,2028,1,637847.203333333
Gavi Eligible,Benin,BEN,YF,YF,Routine,2027,1,621089.339166667
Gavi Eligible,Benin,BEN,YF,YF,Routine,2026,1,605058.0975
Gavi Eligible,Benin,BEN,YF,YF,Routine,2025,1,588890.040833333
Gavi Eligible,Benin,BEN,YF,YF,Routine,2024,1,572964.569166667
Gavi Eligible,Benin,BEN,YF,YF,Routine,2023,1,558422.885
Gavi Eligible,Benin,BEN,YF,YF,Routine,2022,1,546484.241666667
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2032,1,1685352.735
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2031,1,1667959.425
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2030,1,1650600.5175
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2029,1,1630147.365
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2028,1,1609207.1325
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2027,1,1591003.755
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2026,1,1571403.9825
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2025,1,1553067.45
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2024,1,1536356.25
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2023,1,1519332.9525
Gavi Eligible,Burkina Faso,BFA,BCG,BCG,Routine,2022,1,1505169.47
