Limit,Method,Cluster,Solve,N_Mkts,ExpName[i],interest_rate,_total_solve_time,MV,TSS,UVP,TPF,TCS,TVPC\n
High,MC,GNI,TSS,1,TSS_market_assignments_1,1.05,0.203125,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,MC,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,BH,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,BH,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,MC,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,MC,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
Low,BH,Coverage,UVP,3,UVP_market_assignments_Coverage_3_BH,1.05,1.375,3774747782,2494300983,358906764.4,2764518849,1010228933,
Medium,BH,Coverage,UVP,4,UVP_market_assignments_Coverage_4_BH,1.05,1.1875,3933148768,2626301805,1224525601,2057301000,1875847769,
High,BH,Coverage,UVP,3,UVP_market_assignments_Coverage_3_BH,1.05,1.375,3774747782,2494300983,1784909997,1338515617,2436232165,
Low,MC,Coverage,UVP,4,UVP_market_assignments_Coverage_4_MC,1.05,0.109375,3709761775,2487171960,402211611.4,2703253977,1006507797,
Medium,MC,Coverage,UVP,4,UVP_market_assignments_Coverage_4_MC,1.05,0.109375,3709761775,2487171960,1117579177,1987886412,1721875363,
High,MC,Coverage,UVP,4,UVP_market_assignments_Coverage_4_MC,1.05,0.109375,3709761775,2487171960,1832946743,1272518846,2437242929,
Low,MC,Coverage,UVP,3,UVP_market_assignments_Coverage_3_MC,1.05,3.28125,3748345073,2472298726,387041445,2709981460,1038363613,
Medium,BH,GNI,UVP,2,UVP_market_assignments_GNI_2_BH,1.05,0.484375,4079156578,2732759243,1937718951,1474899722,2604256856,
High,MC,Coverage,UVP,3,UVP_market_assignments_Coverage_3_MC,1.05,3.28125,3748345073,2472298726,2059684836,1037338069,2711007004,
Low,MC,GNI,UVP,4,UVP_market_assignments_GNI_4_MC,1.05,0.1875,3762379545,2468778382,1610073853,1485767787,2276611758,
Medium,MC,GNI,UVP,2,UVP_market_assignments_GNI_2_MC,1.05,0.21875,5309241941,3757830379,2847370057,1795333979,3513907963,
High,MC,GNI,UVP,4,UVP_market_assignments_GNI_4_MC,1.05,0.1875,3762379545,2468778382,2508728905,587112734.7,3175266810,
Low,MC,Coverage,UVP,2,UVP_market_assignments_Coverage_2_MC,1.05,0.15625,3686184465,2467524202,378235355.1,2703652924,982531541,
Medium,BH,GNI,UVP,3,UVP_market_assignments_GNI_3_BH,1.05,0.21875,3568490586,2307204250,1637354406,1264598276,2303892311,
High,MC,Coverage,UVP,2,UVP_market_assignments_Coverage_2_MC,1.05,0.15625,3686184465,2467524202,2061361823,1020526457,2665658009,
Low,BH,GNI,UVP,3,UVP_market_assignments_GNI_3_BH,1.05,0.21875,3568490586,2307204250,1328773271,1573179410,1995311176,
Medium,MC,GNI,UVP,3,UVP_market_assignments_GNI_3_MC,1.05,0.28125,3468030203,2223487264,1741042220,1060450079,2407580125,
High,BH,GNI,UVP,3,UVP_market_assignments_GNI_3_BH,1.05,0.21875,3568490586,2307204250,1945935540,956017141.6,2612473445,
Low,BH,GNI,UVP,4,UVP_market_assignments_GNI_4_BH,1.05,0.0625,3484528719,2237236027,1469140273,1348850541,2135678178,
Medium,BH,GNI,UVP,4,UVP_market_assignments_GNI_4_BH,1.05,0.0625,3484528719,2237236027,1794994061,1022996753,2461531966,
High,BH,GNI,UVP,4,UVP_market_assignments_GNI_4_BH,1.05,0.0625,3484528719,2237236027,2120847849,697142964.8,2787385754,
Low,MC,GNI,UVP,3,UVP_market_assignments_GNI_3_MC,1.05,0.28125,3468030203,2223487264,1289702084,1511790215,1956239989,
Medium,MC,GNI,UVP,4,UVP_market_assignments_GNI_4_MC,1.05,0.1875,3762379545,2468778382,2059401379,1036440261,2725939284,
High,MC,GNI,UVP,3,UVP_market_assignments_GNI_3_MC,1.05,0.28125,3468030203,2223487264,2192382356,609109942,2858920261,
